emage_id,assay_type,probe_id,name,strain,type,theilerstage,dpc
630,in situ,MGI:11030,emage,,wholemount,11,EHF Downs & Davies
631,in situ,MGI:11030,emage,,wholemount,12,5 Somite no.
632,in situ,Hesx1 cloneA,emage,,wholemount,11,EHF Downs & Davies
633,in situ,Hesx1 cloneA,emage,unspecified,wholemount,12,
655,in situ,MGI:17719,emage,,section,15,20 Somite no.
672,in situ,Sox10 probeB,emage,C57B/6 x 129/B6,wholemount,17,9.5 dpc
723,in situ,MGI:23359,emage,C3H x C57BL/6,wholemount,15,9.5 dpc
724,in situ,MGI:1277654,emage,,wholemount,16,10 dpc
726,in situ,MGI:1335317,emage,,wholemount,15,10.5 dpc
763,in situ,MGI:1330892,emage,,section,17,10.5 dpc
785,in situ,Crapb1 cloneA,emage,,wholemount,18,10.5 dpc
786,in situ,Crapb1 cloneA,emage,,wholemount,17,10.5 dpc
787,in situ,Crapb1 cloneA,emage,,wholemount,20,12.5 dpc
788,in situ,Crapb1 cloneA,emage,,wholemount,22,14.5 dpc
789,in situ,Crapb1 cloneA,emage,,wholemount,23,15 dpc
790,in situ,Crapb1 cloneA,emage,,wholemount,15,9.5 - 9.75 dpc
791,in situ,Crapb1 cloneA,emage,,wholemount plus section of wholemount,17,10.5 dpc
792,in situ,Crapb1 cloneA,emage,,wholemount plus section of wholemount,17,10.5 dpc
793,in situ,Crapb1 cloneA,emage,,wholemount plus section of wholemount,18,11.5 dpc
794,in situ,Cdkn1c cloneA,emage,,wholemount,12,8.5 dpc
795,in situ,Cdkn1c cloneA,emage,,wholemount,15,9.5 dpc
796,in situ,Cdkn1c cloneA,emage,,wholemount,17,10.5 dpc
797,in situ,Cdkn1c cloneA,emage,,wholemount,20,11.5 dpc
798,in situ,Cdkn1c cloneA,emage,,wholemount,21,12.5 dpc
799,in situ,Cdkn1c cloneA,emage,,sectioned wholemount,16,10.5 dpc
821,in situ,MGI:2154932,emage,,wholemount,9,ES Downs & Davies
952,in situ,MGI:1328383,emage,C57BL/6 x CBA,wholemount,12,8.5 dpc
963,in situ,MGI:1328204,emage,,section,15,9.5 dpc
977,in situ,MGI:1202630,emage,CBA or C57BL/6,section,15,9.5 dpc
1044,in situ,MGI:2150936,emage,CBA x C57BL/6,section,12,8.25 dpc
1064,in situ,MGI:2449091,emage,,wholemount,14,8.5 dpc
1065,in situ,MGI:669395,emage,CD1,wholemount,16,10.5 dpc
1066,in situ,MGI:669395,emage,CD1,wholemount,14,9.5 dpc
1067,in situ,MGI:2663199,emage,CD1,wholemount,18,10.5 dpc
1068,in situ,MGI:2663199,emage,CD1,wholemount,15,9.5 dpc
1069,in situ,MGI:255683,emage,CD1,wholemount,17,10.5 dpc
1070,in situ,MGI:255683,emage,CD1,wholemount,15,9.5 dpc
1071,in situ,MGI:227257,emage,CD1,wholemount,17,10.5 dpc
1072,in situ,MGI:227257,emage,CD1,wholemount,15,9.5 dpc
1073,in situ,MGI:2664168,emage,CD1,wholemount,17,10.5 dpc
1074,in situ,MGI:2664168,emage,CD1,wholemount,16,9.5 dpc
1075,in situ,MGI:2664169,emage,CD1,wholemount,16,10.5 dpc
1076,in situ,MGI:2664169,emage,CD1,wholemount,15,9.5 dpc
1077,in situ,MGI:645091,emage,CD1,wholemount,17,10.5 dpc
1078,in situ,MGI:645091,emage,CD1,wholemount,15,9.5 dpc
1079,in situ,MGI:2662829,emage,CD1,wholemount,15,9.5 dpc
1080,in situ,MGI:360797,emage,CD1,wholemount,17,10.5 dpc
1081,in situ,MGI:360797,emage,CD1,wholemount,14,9.5 dpc
1082,in situ,MGI:2663645,emage,CD1,wholemount,17,10.5 dpc
1083,in situ,MGI:2663645,emage,CD1,wholemount,15,9.5 dpc
1084,in situ,MGI:911522,emage,CD1,wholemount,18,10.5 dpc
1085,in situ,MGI:911522,emage,CD1,wholemount,15,9.5 dpc
1086,in situ,MGI:569158,emage,CD1,wholemount,16,10.5 dpc
1087,in situ,MGI:569158,emage,CD1,wholemount,14,9.5 dpc
1088,in situ,MGI:2663103,emage,CD1,wholemount,15,9.5 dpc
1089,in situ,MGI:2663196,emage,CD1,wholemount,17,10.5 dpc
1090,in situ,MGI:2663196,emage,CD1,wholemount,15,9.5 dpc
1091,in situ,MGI:975798,emage,CD1,wholemount,18,10.5 dpc
1092,in situ,MGI:426765,emage,CD1,wholemount,17,9.5 dpc
1093,in situ,MGI:426765,emage,CD1,wholemount,15,10.5 dpc
1094,in situ,MGI:2664143,emage,CD1,wholemount,18,10.5 dpc
1095,in situ,MGI:2664143,emage,CD1,wholemount,15,9.5 dpc
1096,in situ,MGI:2663875,emage,CD1,wholemount,17,10.5 dpc
1097,in situ,MGI:2663875,emage,CD1,wholemount,15,9.5 dpc
1098,in situ,MGI:2664163,emage,CD1,wholemount,16,10.5 dpc
1099,in situ,MGI:2664163,emage,CD1,wholemount,15,9.5 dpc
1100,in situ,MGI:2663958,emage,CD1,wholemount,17,10.5 dpc
1101,in situ,MGI:2663156,emage,CD1,wholemount,17,10.5 dpc
1102,in situ,MGI:2663156,emage,CD1,wholemount,15,10.5 dpc
1103,in situ,MGI:2663224,emage,CD1,wholemount,18,10.5 dpc
1104,in situ,MGI:2663224,emage,CD1,wholemount,15,9.5 dpc
1105,in situ,MGI:2662829,emage,CD1,wholemount,17,10.5 dpc
1106,in situ,MGI:2664171,emage,CD1,wholemount,18,10.5 dpc
1107,in situ,MGI:2664171,emage,CD1,wholemount,15,9.5 dpc
1108,in situ,MGI:2663214,emage,CD1,wholemount,18,10.5 dpc
1109,in situ,MGI:2663214,emage,CD1,wholemount,15,9.5 dpc
1110,in situ,MGI:2663826,emage,CD1,wholemount,18,10.5 dpc
1111,in situ,MGI:2663826,emage,CD1,wholemount,15,9.5 dpc
1112,in situ,MGI:2663950,emage,CD1,wholemount,17,10.5 dpc
1113,in situ,MGI:2663950,emage,CD1,wholemount,14,9.5 dpc
1114,in situ,MGI:252453,emage,CD1,wholemount,16,9.5 dpc
1115,in situ,MGI:2663871,emage,CD1,wholemount,18,10.5 dpc
1116,in situ,MGI:2663949,emage,CD1,wholemount,16,10.5 dpc
1117,in situ,MGI:252453,emage,CD1,wholemount,17,10.5 dpc
1118,in situ,MGI:2663949,emage,CD1,wholemount,15,9.5 dpc
1119,in situ,MGI:2663877,emage,CD1,wholemount,15,9.5 dpc
1120,in situ,MGI:2664167,emage,CD1,wholemount,18,10.5 dpc
1121,in situ,MGI:2664167,emage,CD1,wholemount,15,9.5 dpc
1122,in situ,MGI:2663102,emage,CD1,wholemount,18,10.5 dpc
1123,in situ,MGI:2663102,emage,CD1,wholemount,15,9.5 dpc
1124,in situ,MGI:2663074,emage,CD1,wholemount,15,9.5 dpc
1125,in situ,MGI:674349,emage,CD1,wholemount,15,9.5 dpc
1126,in situ,MGI:674349,emage,CD1,wholemount,18,10.5 dpc
1127,in situ,MGI:2663700,emage,CD1,wholemount,15,9.5 dpc
1128,in situ,MGI:2663700,emage,CD1,wholemount,17,10.5 dpc
1129,in situ,MGI:2663734,emage,CD1,wholemount,17,10.5 dpc
1130,in situ,MGI:2663218,emage,CD1,wholemount,15,10.5 dpc
1131,in situ,MGI:203957,emage,CD1,wholemount,17,10.5 dpc
1132,in situ,MGI:2663079,emage,CD1,wholemount,15,9.5 dpc
1133,in situ,MGI:2663877,emage,CD1,wholemount,17,10.5 dpc
1134,in situ,MGI:2663100,emage,CD1,wholemount,17,10.5 dpc
1135,in situ,MGI:2663100,emage,CD1,wholemount,15,9.5 dpc
