Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
cerebellum white matter	EMAPA:35235	TS27	TS28	cerebellar peduncle	EMAPA:35213	TS28	TS27
cerebral cortex	EMAPA:17544	TS20	TS28	cortical plate	EMAPA:32711	TS26	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	rest of cerebral cortex	EMAPA:19042	TS26	TS25
cerebral cortex	EMAPA:17544	TS20	TS28	cortical subplate	EMAPA:32703	TS26	TS23
cerebral cortex	EMAPA:17544	TS20	TS28	neocortex	EMAPA:32842	TS28	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex marginal layer	EMAPA:17546	TS24	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex subventricular zone	EMAPA:32704	TS28	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex vascular element	EMAPA:35236	TS23	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex marginal zone	EMAPA:32713	TS26	TS25
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex intermediate zone	EMAPA:32712	TS26	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex mantle layer	EMAPA:17545	TS24	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex ventricular zone	EMAPA:32707	TS28	TS25
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex ventricular layer	EMAPA:17547	TS26	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cerebral cortex subplate	EMAPA:32833	TS22	TS20
cerebral cortex	EMAPA:17544	TS20	TS28	cortical preplate	EMAPA:35261	TS21	TS20
cerebral white matter	EMAPA:35237	TS27	TS28	internal capsule	EMAPA:35437	TS28	TS27
cerebral white matter	EMAPA:35237	TS27	TS28	external capsule	EMAPA:35331	TS28	TS27
cerebral white matter	EMAPA:35237	TS27	TS28	hippocampal commissure	EMAPA:35404	TS28	TS27
cerebral white matter	EMAPA:35237	TS27	TS28	intercerebral commissure	EMAPA:35435	TS28	TS27
cerebral white matter	EMAPA:35237	TS27	TS28	fornix	EMAPA:35352	TS28	TS27
cervical ganglion	EMAPA:18438	TS20	TS28	superior cervical ganglion	EMAPA:18441	TS28	TS21
cervical ganglion	EMAPA:18438	TS20	TS28	inferior cervical ganglion	EMAPA:18439	TS28	TS21
cervical ganglion	EMAPA:18438	TS20	TS28	middle cervical ganglion	EMAPA:18440	TS28	TS21
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C4 intervertebral disc	EMAPA:19425	TS26	TS22
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C2 intervertebral disc	EMAPA:19419	TS26	TS22
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C7 intervertebral disc	EMAPA:19463	TS26	TS23
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C1 intervertebral disc	EMAPA:19416	TS26	TS22
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C5 intervertebral disc	EMAPA:19428	TS26	TS22
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C3 intervertebral disc	EMAPA:19422	TS26	TS22
cervical intervertebral disc	EMAPA:19415	TS22	TS26	C6 intervertebral disc	EMAPA:19460	TS26	TS23
cervical vertebra	EMAPA:17674	TS22	TS28	C2 vertebra	EMAPA:19432	TS28	TS22
cervical vertebra	EMAPA:17674	TS22	TS28	C1 vertebra	EMAPA:19431	TS28	TS22
cervical vertebra	EMAPA:17674	TS22	TS28	C5 vertebra	EMAPA:19435	TS28	TS22
cervical vertebra	EMAPA:17674	TS22	TS28	C4 vertebra	EMAPA:19434	TS28	TS22
cervical vertebra	EMAPA:17674	TS22	TS28	C7 vertebra	EMAPA:19467	TS28	TS23
cervical vertebra	EMAPA:17674	TS22	TS28	C3 vertebra	EMAPA:19433	TS28	TS22
cervical vertebra	EMAPA:17674	TS22	TS28	C6 vertebra	EMAPA:19466	TS28	TS23
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C3 vertebral cartilage condensation	EMAPA:19337	TS21	TS17
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C1 vertebral cartilage condensation	EMAPA:19335	TS21	TS17
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C4 vertebral cartilage condensation	EMAPA:19338	TS21	TS17
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C7 vertebral cartilage condensation	EMAPA:19350	TS22	TS18
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C2 vertebral cartilage condensation	EMAPA:19336	TS21	TS17
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C5 vertebral cartilage condensation	EMAPA:19339	TS21	TS17
cervical vertebral cartilage condensation	EMAPA:17392	TS17	TS22	C6 vertebral cartilage condensation	EMAPA:19349	TS22	TS18
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C3 vertebral pre-cartilage condensation	EMAPA:19325	TS16	TS15
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C1 vertebral pre-cartilage condensation	EMAPA:19323	TS16	TS15
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C6 vertebral pre-cartilage condensation	EMAPA:19328	TS17	TS16
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C4 vertebral pre-cartilage condensation	EMAPA:19326	TS16	TS15
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C2 vertebral pre-cartilage condensation	EMAPA:19324	TS16	TS15
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C7 vertebral pre-cartilage condensation	EMAPA:19329	TS17	TS16
cervical vertebral pre-cartilage condensation	EMAPA:17216	TS15	TS17	C5 vertebral pre-cartilage condensation	EMAPA:19327	TS16	TS15
cervix uteri	EMAPA:29927	TS27	TS28	epithelial layer of cervix uteri	EMAPA:29929	TS28	TS28
cervix uteri	EMAPA:29927	TS27	TS28	adventitia of cervix uteri	EMAPA:29933	TS28	TS28
cervix uteri	EMAPA:29927	TS27	TS28	muscle layer of cervix uteri	EMAPA:29931	TS28	TS28
chondrocranium	EMAPA:17681	TS20	TS28	foramen ovale of chondrocranium	EMAPA:18711	TS26	TS23
chondrocranium	EMAPA:17681	TS20	TS28	supraoccipital cartilage condensation	EMAPA:18341	TS26	TS22
chondrocranium	EMAPA:17681	TS20	TS28	chondrocranium bone	EMAPA:35238	TS28	TS20
chondrocranium	EMAPA:17681	TS20	TS28	basisphenoid pre-cartilage condensation	EMAPA:18013	TS21	TS21
chondrocranium	EMAPA:17681	TS20	TS28	sphenoid bone	EMAPA:18340	TS28	TS22
chondrocranium	EMAPA:17681	TS20	TS28	carotid canal	EMAPA:18707	TS26	TS23
chondrocranium	EMAPA:17681	TS20	TS28	temporal bone petrous part	EMAPA:17683	TS28	TS20
chondrocranium	EMAPA:17681	TS20	TS28	cranial synchondrosis	EMAPA:35264	TS28	TS23
chondrocranium	EMAPA:17681	TS20	TS28	sphenoid bone pre-cartilage condensation	EMAPA:18015	TS21	TS21
chondrocranium	EMAPA:17681	TS20	TS28	basioccipital bone	EMAPA:18705	TS28	TS23
chondrocranium	EMAPA:17681	TS20	TS28	exoccipital cartilage condensation	EMAPA:18339	TS22	TS22
chondrocranium	EMAPA:17681	TS20	TS28	pituitary fossa	EMAPA:19195	TS26	TS25
chondrocranium	EMAPA:17681	TS20	TS28	foramen rotundum	EMAPA:18712	TS26	TS23
chondrocranium	EMAPA:17681	TS20	TS28	basioccipital cartilage condensation	EMAPA:18337	TS22	TS22
chondrocranium	EMAPA:17681	TS20	TS28	hypoglossal canal	EMAPA:19012	TS26	TS24
chondrocranium	EMAPA:17681	TS20	TS28	zygomatic bone	EMAPA:25111	TS28	TS25
chondrocranium	EMAPA:17681	TS20	TS28	exoccipital bone	EMAPA:18708	TS28	TS23
chondrocranium	EMAPA:17681	TS20	TS28	basioccipital pre-cartilage condensation	EMAPA:18012	TS21	TS21
chondrocranium	EMAPA:17681	TS20	TS28	cranial suture	EMAPA:35263	TS28	TS27
chondrocranium	EMAPA:17681	TS20	TS28	chondrocranium cartilage condensation	EMAPA:32802	TS26	TS22
chondrocranium	EMAPA:17681	TS20	TS28	basisphenoid bone	EMAPA:18706	TS28	TS23
chondrocranium	EMAPA:17681	TS20	TS28	chondrocranium pre-cartilage condensation	EMAPA:32799	TS21	TS21
chondrocranium	EMAPA:17681	TS20	TS28	exoccipital pre-cartilage condensation	EMAPA:18014	TS21	TS21
chondrocranium	EMAPA:17681	TS20	TS28	jugular foramen	EMAPA:18713	TS26	TS23
chondrocranium	EMAPA:17681	TS20	TS28	basisphenoid cartilage condensation	EMAPA:18338	TS22	TS22
chondrocranium	EMAPA:17681	TS20	TS28	craniopharyngeal canal	EMAPA:19194	TS26	TS25
chorioallantoic placenta	EMAPA:31873	TS13	TS26	interplacental space	EMAPA:31871	TS26	TS18
chorioallantoic placenta	EMAPA:31873	TS13	TS26	trabecular cord	EMAPA:31870	TS26	TS18
chorioallantoic placenta	EMAPA:31873	TS13	TS26	chorionic plate	EMAPA:31872	TS26	TS13
chorion	EMAPA:16112	TS11	TS26	chorion mesoderm	EMAPA:16114	TS11	TS11
chorion	EMAPA:16112	TS11	TS26	chorion ectoderm	EMAPA:16113	TS13	TS11
chorion	EMAPA:16112	TS11	TS26	chorion mesenchyme	EMAPA:16266	TS13	TS11
choroid invagination	EMAPA:17548	TS20	TS28	lateral ventricle choroid plexus	EMAPA:17769	TS28	TS21
choroid invagination	EMAPA:17548	TS20	TS28	choroid fissure	EMAPA:17768	TS26	TS21
ciliary body	EMAPA:19065	TS25	TS28	ciliary epithelium	EMAPA:35239	TS28	TS28
ciliary body	EMAPA:19065	TS25	TS28	ciliary stroma	EMAPA:35241	TS28	TS27
circumventricular organ	EMAPA:35243	TS27	TS28	secretory circumventricular organ	EMAPA:35759	TS28	TS27
clitoris	EMAPA:30819	TS28	TS28	glans clitoris	EMAPA:30829	TS28	TS28
clitoris	EMAPA:30819	TS28	TS28	crus of clitoris	EMAPA:30821	TS28	TS28
clitoris	EMAPA:30819	TS28	TS28	vasculature of clitoris	EMAPA:30835	TS28	TS28
clitoris	EMAPA:30819	TS28	TS28	nerve of clitoris	EMAPA:35044	TS28	TS28
cloaca	EMAPA:27573	TS16	TS18	cloaca mesenchyme	EMAPA:27581	TS18	TS17
cloaca	EMAPA:27638	TS19	TS22	cloacal epithelium	EMAPA:27640	TS19	TS19
cloaca	EMAPA:27638	TS19	TS22	cloaca mesenchyme	EMAPA:27642	TS19	TS19
cloaca	EMAPA:27573	TS16	TS18	cloacal epithelium	EMAPA:27577	TS18	TS17
cochlea	EMAPA:17597	TS20	TS28	osseus cochlea	EMAPA:35620	TS28	TS27
cochlea	EMAPA:17597	TS20	TS28	cochlea epithelium	EMAPA:35247	TS26	TS23
cochlea	EMAPA:17597	TS20	TS28	cochlear duct	EMAPA:17598	TS28	TS20
cochlea	EMAPA:17597	TS20	TS28	organ of Corti	EMAPA:19061	TS26	TS24
cochlea epithelium	EMAPA:35247	TS23	TS26	greater epithelial ridge	EMAPA:35384	TS26	TS23
cochlea epithelium	EMAPA:35247	TS23	TS26	lesser epithelial ridge	EMAPA:35492	TS26	TS23
cochlear duct	EMAPA:17598	TS20	TS28	basilar membrane	EMAPA:35166	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	spiral vessel	EMAPA:35801	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	tectorial membrane	EMAPA:35851	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	spiral ligament	EMAPA:35798	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	cochlear duct mesenchyme	EMAPA:17599	TS26	TS20
cochlear duct	EMAPA:17598	TS20	TS28	cochlear duct epithelium	EMAPA:17600	TS26	TS20
cochlear duct	EMAPA:17598	TS20	TS28	spiral sulcus	EMAPA:35800	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	stria vascularis	EMAPA:35827	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	vestibular membrane	EMAPA:35922	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	spiral prominence	EMAPA:35799	TS28	TS27
cochlear duct	EMAPA:17598	TS20	TS28	limbus lamina spiralis	EMAPA:35496	TS28	TS27
cochlear VIII nucleus	EMAPA:35248	TS27	TS28	dorsal cochlear nucleus	EMAPA:35289	TS28	TS27
collecting duct	EMAPA:28407	TS21	TS28	papillary duct	EMAPA:35655	TS28	TS27
collecting duct	EMAPA:28407	TS21	TS28	ureteric trunk	EMAPA:28494	TS28	TS22
collecting duct	EMAPA:28407	TS21	TS28	ureteric tree terminal branch excluding tip itself	EMAPA:31045	TS28	TS21
collecting duct	EMAPA:28407	TS21	TS28	ureteric tip	EMAPA:27749	TS28	TS21
colon	EMAPA:18939	TS24	TS28	descending colon	EMAPA:35285	TS28	TS27
colon	EMAPA:18939	TS24	TS28	colon vascular element	EMAPA:18944	TS26	TS24
colon	EMAPA:18939	TS24	TS28	colon mucosa	EMAPA:27375	TS28	TS24
colon	EMAPA:18939	TS24	TS28	colon mesentery	EMAPA:18942	TS26	TS24
colon	EMAPA:18939	TS24	TS28	colon muscularis	EMAPA:27383	TS28	TS24
colon	EMAPA:18939	TS24	TS28	transverse colon	EMAPA:35880	TS28	TS27
colon	EMAPA:18939	TS24	TS28	colon lumen	EMAPA:18945	TS26	TS24
colon	EMAPA:18939	TS24	TS28	colon serosa	EMAPA:27387	TS28	TS24
colon	EMAPA:18939	TS24	TS28	ascending colon	EMAPA:35151	TS28	TS27
colon	EMAPA:18939	TS24	TS28	colon submucosa	EMAPA:27379	TS28	TS24
colon mesentery	EMAPA:18942	TS24	TS26	colon dorsal mesentery	EMAPA:18943	TS26	TS24
colon mucosa	EMAPA:27375	TS24	TS28	colon lamina propria	EMAPA:27395	TS28	TS24
colon mucosa	EMAPA:27375	TS24	TS28	colon muscularis mucosa	EMAPA:27399	TS28	TS24
colon mucosa	EMAPA:27375	TS24	TS28	colon epithelium	EMAPA:18941	TS28	TS24
comma-shaped body	EMAPA:27681	TS20	TS21	lower limb of comma-shaped body	EMAPA:27687	TS21	TS20
comma-shaped body	EMAPA:27835	TS22	TS28	upper limb of comma-shaped body	EMAPA:27841	TS27	TS22
comma-shaped body	EMAPA:27681	TS20	TS21	renal connecting segment of comma-shaped body	EMAPA:31546	TS21	TS20
comma-shaped body	EMAPA:27835	TS22	TS28	lower limb of comma-shaped body	EMAPA:27847	TS27	TS22
comma-shaped body	EMAPA:27681	TS20	TS21	upper limb of comma-shaped body	EMAPA:27684	TS21	TS20
comma-shaped body	EMAPA:27835	TS22	TS28	renal connecting segment of comma-shaped body	EMAPA:31545	TS27	TS22
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber auricular region	EMAPA:36059	TS18	TS16
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber right part	EMAPA:16820	TS18	TS16
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber left part	EMAPA:16813	TS18	TS16
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber cardiac muscle	EMAPA:16345	TS18	TS13
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber endocardial tube	EMAPA:16344	TS14	TS13
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber endocardial lining	EMAPA:16691	TS18	TS15
common atrial chamber	EMAPA:16342	TS13	TS18	common atrial chamber cardiac jelly	EMAPA:16343	TS18	TS13
common atrial chamber auricular region	EMAPA:36059	TS16	TS18	common atrial chamber auricular region endocardial lining	EMAPA:36061	TS18	TS16
common atrial chamber auricular region	EMAPA:36059	TS16	TS18	common atrial chamber auricular region cardiac muscle	EMAPA:36060	TS18	TS16
common atrial chamber cardiac muscle	EMAPA:16345	TS13	TS18	common atrial chamber left part cardiac muscle	EMAPA:16819	TS18	TS16
common atrial chamber cardiac muscle	EMAPA:16345	TS13	TS18	common atrial chamber right part cardiac muscle	EMAPA:16823	TS18	TS16
common atrial chamber left part	EMAPA:16813	TS16	TS18	common atrial chamber left part cardiac muscle	EMAPA:16819	TS18	TS16
common atrial chamber left part	EMAPA:16813	TS16	TS18	common atrial chamber left part cardiac jelly	EMAPA:16814	TS17	TS16
common atrial chamber left part	EMAPA:16813	TS16	TS18	left auricular region	EMAPA:16816	TS18	TS16
common atrial chamber left part	EMAPA:16813	TS16	TS18	common atrial chamber left part endocardial lining	EMAPA:16815	TS18	TS16
common atrial chamber left part cardiac muscle	EMAPA:16819	TS16	TS18	left auricular region cardiac muscle	EMAPA:16818	TS18	TS16
common atrial chamber right part	EMAPA:16820	TS16	TS18	common atrial chamber right part cardiac jelly	EMAPA:16821	TS17	TS16
common atrial chamber right part	EMAPA:16820	TS16	TS18	common atrial chamber right part cardiac muscle	EMAPA:16823	TS18	TS16
common atrial chamber right part	EMAPA:16820	TS16	TS18	right auricular region	EMAPA:16824	TS18	TS16
common atrial chamber right part	EMAPA:16820	TS16	TS18	common atrial chamber right part endocardial lining	EMAPA:16822	TS18	TS16
common atrial chamber right part	EMAPA:16820	TS16	TS18	common atrial chamber right part valve	EMAPA:17009	TS18	TS17
common atrial chamber right part cardiac muscle	EMAPA:16823	TS16	TS18	right auricular region cardiac muscle	EMAPA:16826	TS18	TS16
common atrial chamber right part valve	EMAPA:17009	TS17	TS18	common atrial chamber right part venous valve	EMAPA:17010	TS18	TS17
common carotid artery	EMAPA:17855	TS21	TS28	left common carotid artery	EMAPA:35491	TS28	TS28
common carotid artery	EMAPA:17855	TS21	TS28	right common carotid artery	EMAPA:35749	TS28	TS28
communicating artery	EMAPA:18598	TS23	TS28	anterior communicating artery	EMAPA:18599	TS26	TS23
communicating artery	EMAPA:18598	TS23	TS28	posterior communicating artery	EMAPA:18600	TS28	TS23
conceptus	EMAPA:36040	TS01	TS26	extraembryonic component	EMAPA:16042	TS26	TS04
conceptus	EMAPA:36040	TS01	TS26	2-cell stage conceptus	EMAPA:36042	TS02	TS02
conceptus	EMAPA:36040	TS01	TS26	zona pellucida	EMAPA:16035	TS04	TS01
conceptus	EMAPA:36040	TS01	TS26	4-8 cell stage conceptus	EMAPA:36063	TS03	TS03
conceptus	EMAPA:36040	TS01	TS26	4-cell stage conceptus	EMAPA:36043	TS03	TS03
conceptus	EMAPA:36040	TS01	TS26	polar body	EMAPA:31859	TS04	TS01
conceptus	EMAPA:36040	TS01	TS26	8-cell stage conceptus	EMAPA:36044	TS03	TS03
conceptus	EMAPA:36040	TS01	TS26	blastocyst-stage conceptus	EMAPA:36046	TS06	TS04
conceptus	EMAPA:36040	TS01	TS26	1-cell stage conceptus	EMAPA:36041	TS01	TS01
conceptus	EMAPA:36040	TS01	TS26	primitive endoderm	EMAPA:16051	TS12	TS06
conceptus	EMAPA:36040	TS01	TS26	blastocyst	EMAPA:36035	TS06	TS04
conceptus	EMAPA:36040	TS01	TS26	embryo	EMAPA:16039	TS26	TS04
conceptus	EMAPA:36040	TS01	TS26	morula-stage conceptus	EMAPA:36045	TS04	TS03
conjunctival sac	EMAPA:18233	TS22	TS28	conjunctival sac lower recess	EMAPA:18588	TS26	TS23
conjunctival sac	EMAPA:18233	TS22	TS28	conjunctival sac upper recess	EMAPA:18589	TS26	TS23
connective tissue	EMAPA:35251	TS20	TS28	ligament	EMAPA:35493	TS28	TS27
connective tissue	EMAPA:35251	TS20	TS28	cartilage	EMAPA:32730	TS28	TS20
connective tissue	EMAPA:35251	TS20	TS28	adipose tissue	EMAPA:35112	TS28	TS23
connective tissue	EMAPA:35251	TS20	TS28	perichondrium	EMAPA:35676	TS28	TS27
connective tissue	EMAPA:35251	TS20	TS28	tendon	EMAPA:35854	TS28	TS27
cornea	EMAPA:17161	TS18	TS28	Descemet's membrane	EMAPA:18804	TS26	TS24
cornea	EMAPA:17161	TS18	TS28	cornea epithelium	EMAPA:17162	TS28	TS18
cornea	EMAPA:17161	TS18	TS28	cornea endothelium	EMAPA:35935	TS28	TS26
cornea	EMAPA:17161	TS18	TS28	cornea stroma	EMAPA:17602	TS28	TS20
corpus epididymis	EMAPA:19293	TS24	TS28	epithelium of corpus epididymis	EMAPA:29755	TS28	TS24
corpus epididymis	EMAPA:19293	TS24	TS28	muscle layer of corpus of epididymis	EMAPA:29757	TS28	TS24
corpus epididymis	EMAPA:19293	TS24	TS28	adventitia of corpus of epididymis	EMAPA:29759	TS28	TS24
corpus epididymis	EMAPA:19293	TS24	TS28	developing vasculature of corpus epididymis	EMAPA:31199	TS27	TS24
corpus striatum	EMAPA:17549	TS20	TS28	caudate-putamen	EMAPA:19095	TS28	TS22
corpus striatum	EMAPA:17549	TS20	TS28	lentiform nucleus	EMAPA:18208	TS28	TS22
corpus striatum	EMAPA:17549	TS20	TS28	accumbens nucleus	EMAPA:32789	TS28	TS26
cortical amygdaloid nucleus	EMAPA:35254	TS27	TS28	posterolateral cortical amygdaloid nucleus	EMAPA:35699	TS28	TS27
cortical amygdaloid nucleus	EMAPA:35254	TS27	TS28	posteromedial cortical amygdaloid nucleus	EMAPA:35700	TS28	TS27
cortical component of mesenchymal stroma	EMAPA:29009	TS22	TS28	rest of cortical component of mesenchymal stroma of ovary	EMAPA:31040	TS27	TS24
cortical component of mesenchymal stroma	EMAPA:29009	TS22	TS28	pre-granulosa cell	EMAPA:31035	TS27	TS24
cortical renal tubule	EMAPA:18976	TS22	TS28	cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS28	TS22
cortical renal tubule	EMAPA:18976	TS22	TS28	early proximal tubule	EMAPA:28003	TS24	TS22
cortical renal tubule	EMAPA:18976	TS22	TS28	early distal tubule	EMAPA:28007	TS24	TS22
cortical renal tubule	EMAPA:18976	TS22	TS28	anlage of loop of Henle of cortical renal tubule	EMAPA:31281	TS28	TS22
cortical renal tubule	EMAPA:18976	TS22	TS28	renal proximal tubule	EMAPA:28281	TS28	TS25
cortical renal tubule	EMAPA:18976	TS22	TS28	renal distal tubule	EMAPA:28387	TS28	TS25
cortical renal tubule	EMAPA:18976	TS22	TS28	cortical renal tubule of mature nephron group	EMAPA:31566	TS28	TS25
cortical renal tubule	EMAPA:18976	TS22	TS28	renal connecting tubule	EMAPA:28011	TS28	TS22
cortical renal tubule	EMAPA:18976	TS22	TS28	renal convoluted tubule	EMAPA:35725	TS28	TS24
cortical renal tubule	EMAPA:18976	TS22	TS28	cortical renal tubule of maturing nephron group	EMAPA:31570	TS28	TS22
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	early distal tubule of capillary loop nephron	EMAPA:31521	TS27	TS25
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	early distal tubule of capillary loop nephron	EMAPA:31511	TS24	TS22
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	renal connecting tubule of capillary loop nephron	EMAPA:31515	TS27	TS22
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	early proximal tubule of capillary loop nephron	EMAPA:31543	TS27	TS25
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	early proximal tubule of capillary loop nephron	EMAPA:31544	TS24	TS22
cortical renal tubule of capillary loop nephron group	EMAPA:31571	TS22	TS28	anlage of loop of Henle of cortical renal tubule	EMAPA:31281	TS28	TS22
cortical renal tubule of mature nephron group	EMAPA:31566	TS25	TS28	renal connecting tubule of mature nephron	EMAPA:31517	TS27	TS25
cortical renal tubule of mature nephron group	EMAPA:31566	TS25	TS28	renal proximal convoluted tubule	EMAPA:28287	TS28	TS25
cortical renal tubule of mature nephron group	EMAPA:31566	TS25	TS28	distal straight tubule of renal cortex	EMAPA:28396	TS28	TS25
cortical renal tubule of mature nephron group	EMAPA:31566	TS25	TS28	distal convoluted tubule	EMAPA:28393	TS28	TS25
cortical renal tubule of maturing nephron group	EMAPA:31570	TS22	TS28	early distal tubule of maturing nephron	EMAPA:31513	TS24	TS22
cortical renal tubule of maturing nephron group	EMAPA:31570	TS22	TS28	renal connecting tubule of maturing nephron	EMAPA:31516	TS27	TS22
cortical renal tubule of maturing nephron group	EMAPA:31570	TS22	TS28	early proximal tubule of maturing nephron	EMAPA:31542	TS24	TS22
cortical renal tubule of maturing nephron group	EMAPA:31570	TS22	TS28	early distal tubule of maturing nephron	EMAPA:31514	TS27	TS25
cortical renal tubule of maturing nephron group	EMAPA:31570	TS22	TS28	early proximal tubule of maturing nephron	EMAPA:31512	TS27	TS25
cranial ganglion	EMAPA:16659	TS16	TS28	acoustic VIII ganglion	EMAPA:16982	TS19	TS17
cranial ganglion	EMAPA:16659	TS16	TS28	vagus X ganglion	EMAPA:16798	TS28	TS16
cranial ganglion	EMAPA:16659	TS16	TS28	vestibulo-cochlear VIII ganglion complex	EMAPA:17570	TS20	TS20
cranial ganglion	EMAPA:16659	TS16	TS28	glossopharyngeal IX ganglion	EMAPA:16795	TS28	TS16
cranial ganglion	EMAPA:16659	TS16	TS28	trigeminal V ganglion	EMAPA:16797	TS28	TS16
cranial ganglion	EMAPA:16659	TS16	TS28	facio-acoustic VII-VIII ganglion complex	EMAPA:16794	TS16	TS16
cranial ganglion	EMAPA:16659	TS16	TS28	facial VII ganglion	EMAPA:17569	TS28	TS17
cranial ganglion	EMAPA:16659	TS16	TS28	glossopharyngeal-vagus IX-X ganglion complex	EMAPA:16796	TS16	TS16
cranial ganglion	EMAPA:16659	TS16	TS28	vestibulocochlear VIII ganglion	EMAPA:17571	TS28	TS20
cranial mesonephric tubule	EMAPA:30576	TS19	TS19	mesonephric glomerulus	EMAPA:30580	TS19	TS19
cranial mesonephric tubule	EMAPA:30562	TS17	TS18	mesonephric glomerulus	EMAPA:30568	TS18	TS17
cranial mesonephric tubule	EMAPA:30576	TS19	TS19	rest of cranial mesonephric tubule	EMAPA:30578	TS19	TS19
cranial mesonephric tubule	EMAPA:30562	TS17	TS18	rest of cranial mesonephric tubule	EMAPA:30565	TS18	TS17
cranial mesonephric tubule of female	EMAPA:30544	TS20	TS21	mesonephric glomerulus of female	EMAPA:30547	TS21	TS20
cranial mesonephric tubule of female	EMAPA:30544	TS20	TS21	rest of cranial mesonephric tubule of female	EMAPA:30550	TS21	TS20
cranial mesonephric tubule of male	EMAPA:30528	TS20	TS22	rest of cranial mesonephric tubule of male	EMAPA:30536	TS22	TS20
cranial mesonephric tubule of male	EMAPA:30556	TS23	TS23	rest of cranial mesonephric tubule	EMAPA:30558	TS23	TS23
cranial mesonephric tubule of male	EMAPA:30528	TS20	TS22	mesonephric glomerulus of male	EMAPA:30532	TS22	TS20
cranial mesonephric tubule of male	EMAPA:30556	TS23	TS23	mesonephric glomerulus of male	EMAPA:30560	TS23	TS23
cranial muscle	EMAPA:18172	TS21	TS28	facial muscle	EMAPA:25133	TS28	TS22
cranial musculature	EMAPA:18171	TS21	TS28	pterygoid	EMAPA:25139	TS26	TS24
cranial musculature	EMAPA:18171	TS21	TS28	cranial muscle	EMAPA:18172	TS28	TS21
cranial musculature	EMAPA:18171	TS21	TS28	sterno-mastoid	EMAPA:25137	TS28	TS22
cranial musculature	EMAPA:18171	TS21	TS28	masseter	EMAPA:25135	TS28	TS22
cranial musculature	EMAPA:18171	TS21	TS28	digastric	EMAPA:25134	TS28	TS25
cranial musculature	EMAPA:18171	TS21	TS28	facial muscle	EMAPA:25133	TS28	TS22
cranial musculature	EMAPA:18171	TS21	TS28	temporalis	EMAPA:25138	TS28	TS22
cranial musculature	EMAPA:18171	TS21	TS28	orbicularis oculi	EMAPA:35619	TS28	TS28
cranial musculature	EMAPA:18171	TS21	TS28	mylohyoid	EMAPA:25136	TS28	TS22
