Parent Term	Parent Term Accession	Start Stage of Parent Term	End Stage of Parent Term	Child Term	Child term Accession	End Stage of Child Term	Start Stage of Child Term
male reproductive system	EMAPA:17968	TS20	TS28	mesonephros of male	EMAPA:29138	TS23	TS20
male reproductive system	EMAPA:17968	TS20	TS28	appendix epididymis	EMAPA:19086	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	genital tubercle of male	EMAPA:17969	TS26	TS20
male reproductive system	EMAPA:17968	TS20	TS28	cranial suspensory ligament	EMAPA:30068	TS23	TS23
male reproductive system	EMAPA:17968	TS20	TS28	male inguinal canal	EMAPA:26913	TS28	TS25
male reproductive system	EMAPA:17968	TS20	TS28	scrotum	EMAPA:19296	TS28	TS26
male reproductive system	EMAPA:17968	TS20	TS28	nerve of male reproductive system	EMAPA:35947	TS28	TS22
male reproductive system	EMAPA:17968	TS20	TS28	male accessory gland	EMAPA:19285	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	degenerating paramesonephric duct of male	EMAPA:35273	TS23	TS22
male reproductive system	EMAPA:17968	TS20	TS28	ampullary gland	EMAPA:35123	TS28	TS28
male reproductive system	EMAPA:17968	TS20	TS28	male external genitalia	EMAPA:30977	TS28	TS20
male reproductive system	EMAPA:17968	TS20	TS28	ductus deferens	EMAPA:18681	TS28	TS23
male reproductive system	EMAPA:17968	TS20	TS28	cremaster muscle	EMAPA:31250	TS28	TS28
male reproductive system	EMAPA:17968	TS20	TS28	paramesonephric duct of male	EMAPA:35661	TS23	TS20
male reproductive system	EMAPA:17968	TS20	TS28	penis	EMAPA:18682	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	epididymis	EMAPA:19290	TS28	TS23
male reproductive system	EMAPA:17968	TS20	TS28	male reproductive system mesenchyme	EMAPA:35975	TS26	TS20
male reproductive system	EMAPA:17968	TS20	TS28	efferent duct of seminal vesicle	EMAPA:18993	TS28	TS25
male reproductive system	EMAPA:17968	TS20	TS28	male inguinal ring	EMAPA:29307	TS28	TS25
male reproductive system	EMAPA:17968	TS20	TS28	appendix testis	EMAPA:19087	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	scrotal fold	EMAPA:29316	TS27	TS24
male reproductive system	EMAPA:17968	TS20	TS28	coagulating gland	EMAPA:35245	TS28	TS28
male reproductive system	EMAPA:17968	TS20	TS28	testis	EMAPA:17972	TS28	TS20
male reproductive system	EMAPA:17968	TS20	TS28	gubernaculum	EMAPA:19089	TS28	TS23
male reproductive system	EMAPA:17968	TS20	TS28	vesicular gland	EMAPA:35920	TS28	TS28
male reproductive system	EMAPA:17968	TS20	TS28	bulbourethral gland	EMAPA:19286	TS28	TS26
male reproductive system	EMAPA:17968	TS20	TS28	nephric duct of male, rest of	EMAPA:29173	TS23	TS20
male reproductive system	EMAPA:17968	TS20	TS28	male reproductive system epithelium	EMAPA:35963	TS28	TS20
male reproductive system	EMAPA:17968	TS20	TS28	seminal vesicle	EMAPA:19180	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	mesorchium	EMAPA:17971	TS28	TS20
male reproductive system	EMAPA:17968	TS20	TS28	nephric duct of male	EMAPA:35591	TS22	TS20
male reproductive system	EMAPA:17968	TS20	TS28	male cystic vesicular appendage	EMAPA:29304	TS28	TS25
male reproductive system	EMAPA:17968	TS20	TS28	prostate gland	EMAPA:19287	TS28	TS24
male reproductive system	EMAPA:17968	TS20	TS28	male associated reproductive structure	EMAPA:28533	TS28	TS20
mammary gland	EMAPA:17759	TS21	TS28	mammary gland fat	EMAPA:35539	TS28	TS28
mammary gland	EMAPA:17759	TS21	TS28	mammary gland epithelium	EMAPA:17760	TS28	TS21
mammary gland	EMAPA:17759	TS21	TS28	mammary gland duct	EMAPA:35538	TS28	TS28
mammary gland	EMAPA:17759	TS21	TS28	mammary gland mesenchyme	EMAPA:17761	TS26	TS21
mammary gland	EMAPA:17759	TS21	TS28	mammary gland ridge	EMAPA:18541	TS26	TS23
