id,name,accession
566,E2f5,MGI:105091
567,Ell2,MGI:2183438
568,Pias2,MGI:1096566
569,Pknox2,MGI:2445415
570,Pla2g6,MGI:1859152
571,Polr2b,MGI:2388280
572,Polr2j,MGI:109582
573,Ppargc1a,MGI:1342774
574,Sncaip,MGI:1915097
575,Taf1b,MGI:109577
576,Tcf21,MGI:1202715
577,Tfcp2l1,MGI:2444691
578,Zbtb3,MGI:1922541
579,Uhrf1,MGI:1338889
580,Scmh1,MGI:1352762
581,Six3,MGI:102764
582,Hoxd9,MGI:96210
583,Zfp692,MGI:2144276
584,Ankrd10,MGI:1921840
585,Atf4,MGI:88096
586,Bard1,MGI:1328361
587,Ehmt2,MGI:2148922
588,Ctnnb1,MGI:88276
589,Cbx3,MGI:108515
590,Ccnt1,MGI:1328363
591,Cdc5l,MGI:1918952
592,Csda,MGI:2137670
593,Drap1,MGI:1913806
594,Erf,MGI:109637
595,Ewsh,Ewsh
596,Eya3,MGI:109339
597,Khdrbs1,MGI:893579
598,Lsm4,MGI:1354692
599,Dcp1a,MGI:1923151
600,Mta3,MGI:2151172
601,Mtf2,MGI:105050
602,Mybl2,MGI:101785
603,Nfe2,MGI:97308
604,Polr2g,MGI:1914960
605,Ptma,MGI:97803
606,Zic2,MGI:106679
607,Sim1,MGI:98306
608,Thrb,MGI:98743
609,Grhl2,MGI:2182543
610,Ssbp4,MGI:1924150
611,Taf12,MGI:1913714
612,Tbp,MGI:101838
613,Tceb2,MGI:1914923
614,Tcf19,MGI:103180
615,Tle3,MGI:104634
616,Trip13,MGI:1916966
617,Patz1,MGI:1891832
618,Basp1,MGI:1917600
619,Ubp1,MGI:104889
620,Fblim1,MGI:1921452
621,AL033314,AL033314
622,Ctbp1,MGI:1201685
623,Pprc1,MGI:2385096
624,Pttg1,MGI:1353578
625,Rnf2,MGI:1101759
626,Gli2,MGI:95728
627,Polr3e,MGI:1349452
628,9030624G23Rik,MGI:1914058
629,Hsf3,MGI:3045337
630,Cnbp,MGI:88431
631,Ddx54,MGI:1919240
632,Dek,MGI:1926209
633,Dmtf1,MGI:1344415
634,Drg1,MGI:1343297
635,Pcgf6,MGI:1918291
636,Rps10,MGI:1914347
637,Clpb,MGI:1100517
638,Zfp740,MGI:1915994
639,Utp6,MGI:2445193
640,Btf3,MGI:1202875
641,Cbfb,MGI:99851
642,Dnmt1,MGI:94912
643,Dpf2,MGI:109529
644,Epas1,MGI:109169
645,Meis2,MGI:108564
646,Mta2,MGI:1346340
647,Mtpn,MGI:99445
648,Nedd8,MGI:97301
649,Polr2a,MGI:98086
650,Med1,MGI:1100846
651,Psmc3,MGI:1098754
652,Psmc5,MGI:105047
653,Polr1d,MGI:108403
654,Sub1,MGI:104811
655,Rqcd1,MGI:1928902
656,Sap18,MGI:1277978
657,Sfrs5,Sfrs5
658,Smarce1,MGI:1927347
659,Supt16h,MGI:1890948
660,Tbx2,MGI:98494
661,Tcf12,MGI:101877
662,Erg,MGI:95415
663,Rbm14,MGI:1929092
664,Skil,MGI:106203
665,Ctbp2,MGI:1201686
666,Clip2,MGI:1313136
667,Fus,MGI:1353633
668,Jarid2,MGI:104813
669,Maff,MGI:96910
670,Mcm4,MGI:103199
671,Mcm5,MGI:103197
672,Mcm6,MGI:1298227
673,Mcm7,MGI:1298398
674,Mybbp1a,MGI:106181
675,Nfil3,MGI:109495
676,Ruvbl1,MGI:1928760
677,Ruvbl2,MGI:1342299
678,Snrpb,MGI:98342
679,Tbx3,MGI:98495
680,Thoc4,MGI:1341044
681,Pa2g4,MGI:894684
682,Taf9,MGI:1888697
683,Atf1,MGI:1298366
684,Ctnnbl1,MGI:1913892
685,Cxxc1,MGI:1921572
