"id","type","strain","stage_id"
"257","wholemount","involves: 129S4/SvJaeSor","199"
"258","wholemount","involves: 129S/SvEv","155"
"259","wholemount","C.B-17","155"
"260","wholemount","involves: C57BL/6","165"
"261","wholemount","B6.CBA","165"
"262","wholemount","involves: C57BL/6 * CD-1","165"
"263","wholemount","involves: 129S6/SvEvTac * C57BL/6","199"
"264","wholemount","nvolves: 129S1/Sv * 129X1/SvJ * C57BL/6","165"
"265","wholemount","involves: 129P2/OlaHsd * CD-1","700"
"266","wholemount","either: 129-Tes<GT(RRH061)Byg> or B6.129P2-Tes<GT(RRH061)Byg>","155"
"267","wholemount","either: 129-Tes","199"
"268","wholemount","either: (involves: 129S4/SvJae) or (involves: 129 * C57BL/6)","165"
"269","wholemount","either: (C57BL/6 x BALB/c) or CD-1","199"
"270","wholemount","involves: 129S7/SvEvBrd * C57BL/6J","155"
"271","wholemount","involves: CD-1 * ICR","2"
"272","wholemount","Kunming","26605"
"273","wholemount","involves: 129S1/Sv * 129X1/SvJ","521"
"274","wholemount","involves: 129S/SvLex * C57BL/6","666"
"275","wholemount","either: 129 or (involves: 129S1/Sv * 129X1/SvJ * C57BL/6) or (involves: 129S1/Sv * 129X1/SvJ * CD-1)","122"
"276","wholemount","DDY","278"
"277","wholemount","involves: 129P2/OlaHsd * C57BL/6 * DBA/2","155"
"278","wholemount","C57BL/6 x SJL","278"
"279","wholemount","B6.Cg-Etl4<Gt(pU8)80211Imeg>","402"
"280","wholemount","nvolves: 129P2/OlaHsd * C57BL/6","155"
"281","wholemount","129;B6","155"
"282","wholemount","involves: 129/Sv","25963"
"283","wholemount","(either: CD-1 or: MF-1) x (C57BL/6J X SJL/J)F1","1771"
"284","wholemount","BDF1","155"
"285","wholemount","129S6/SvEvTac","155"
"286","wholemount","either: (involves: 129/Sv) or (involves: C57BL/6)","165"
"287","wholemount","either: (involves: 129P/Ola * 129P2/OlaHsd) or (involves: 129P2/OlaHsd * FVB)","27290"
"288","wholemount","CF1","26289"
"289","wholemount","involves: 129S2/SvPas * CD-1","27341"
"290","wholemount","involves: 129X1/SvJ * Black Swiss","199"
"291","wholemount","either: (involves: 129P2/OlaHsd) or (involves: 129P2/OlaHsd * C57BL/6J) or (involves: 129P2/OlaHsd * C57BL/6J * DBA/2)","521"
"292","wholemount","involves: 129/Sv * C57BL/6 * Swiss","700"
"293","wholemount","involves: 129 * C57BL/6 * ICR","27423"
"294","wholemount","involves: 129X1/SvJ","700"
"295","wholemount","either: CD-1 or (C57BL/6 x CBA)F1","155"
"296","wholemount","either: CD-1 or (C57BL/6 x CBA)F1)","700"
"297","section","BL6/SV129","4"
"298","section","C57BL/6-Tyr<c-Brd>","12909"
