emage_id,type,probe_id,source_id,specimen_id,stage_id
481,in situ,MGI:1335333,2,1,155
482,in situ,MGI:1335333,2,1,165
483,in situ,MGI:2148101,2,17,155
484,in situ,MGI:2148101,2,17,165
485,in situ,MGI:1860522,2,17,3211
486,in situ,MGI:1860522,2,17,9764
487,in situ,MGI:1328161,2,1,402
488,in situ,MGI:1932892,2,32,300
489,in situ,MGI:2386040,2,124,278
490,in situ,MGI:2678297,2,109,11782
491,in situ,MGI:2678297,2,126,1021
492,in situ,MGI:1328384,2,1,221
493,in situ,MGI:2136037,2,128,11782
494,in situ,MGI:13124,2,128,11782
495,in situ,MGI:1303382,2,17,122
496,in situ,MGI:1303382,2,17,155
497,in situ,MGI:1330071,2,17,155
498,in situ,MGI:1101195,2,1,155
499,in situ,MGI:1101195,2,1,155
500,in situ,MGI:1932050,2,1,155
501,in situ,MGI:1338692,2,142,155
502,in situ,MGI:1338692,2,19,2691
503,in situ,MGI:1095429,2,32,165
504,in situ,MGI:1276342,2,17,24680
505,in situ,MGI:1197090,2,1,155
506,in situ,MGI:1334562,2,1,2
507,in situ,MGI:1330041,2,1,25106
508,in situ,MGI:1330041,2,1,25106
509,in situ,MGI:29788,2,40,2
510,in situ,MGI:1278391,2,1,9875
511,in situ,MGI:2449091,2,1,389
512,in situ,MGI:2183458,2,28,26505
513,in situ,MGI:2157813,2,17,700
514,in situ,MGI:17719,2,17,24965
515,in situ,MGI:17719,2,17,26557
516,in situ,MGI:17265,2,47,221
517,in situ,MGI:1202170,2,124,367
518,in situ,MGI:1197090,2,1,2870
519,in situ,MGI:2155348,2,128,711
520,in situ,MGI:2155350,1,128,711
521,in situ,MGI:2150050,2,17,22163
522,in situ,MGI:1349595,2,1,488
523,in situ,MGI:1330552,2,2,221
524,in situ,MGI:1332545,2,17,24965
525,in situ,MGI:1327256,2,1,380
526,in situ,MGI:1935102,2,54,221
527,in situ,MGI:1935102,2,54,2870
528,in situ,MGI:2153657,2,124,155
529,in situ,MGI:1326908,2,17,3211
530,in situ,MGI:1326908,2,17,2937
531,in situ,MGI:1326908,2,109,26722
532,in situ,MGI:1333123,2,143,110
533,in situ,MGI:1332537,2,17,402
534,in situ,MGI:1332537,2,17,221
535,in situ,MGI:17719,2,17,221
536,in situ,MGI:18239,2,17,389
537,in situ,MGI:1335235,2,66,24965
538,in situ,MGI:2445989,2,113,199
539,in situ,MGI:1276508,2,1,2937
540,in situ,MGI:1276508,2,25,221
541,in situ,MGI:1289531,2,124,26832
542,in situ,MGI:1289531,2,124,26843
543,in situ,MGI:2176195,2,17,2691
544,in situ,MGI:21785,2,144,1
545,in situ,MGI:1197090,2,1,26877
546,in situ,MGI:1197090,2,1,25106
547,in situ,MGI:2182553,2,17,267
