Theirler Stage	Accession	Annotation	Data Source	Assay Type	Probe Accession	User Stage	Gene Symbol	Specimen Type	Specimen Strain
TS19	EMAGE:29053	only anatomy term annotation	embrys	in situ	EMBRYS:Mll5	11.5dpc	Mll5	wholemount	ICR
TS19	EMAGE:29054	only anatomy term annotation	embrys	in situ	EMBRYS:Tnni3k	11.5dpc	Tnni3k	wholemount	ICR
TS19	EMAGE:29055	only anatomy term annotation	embrys	in situ	EMBRYS:Trim24	11.5dpc	Trim24	wholemount	ICR
TS19	EMAGE:29056	only anatomy term annotation	embrys	in situ	EMBRYS:Trp53bp1	11.5dpc	Trp53bp1	wholemount	ICR
TS19	EMAGE:29057	only anatomy term annotation	embrys	in situ	EMBRYS:Zmym2	11.5dpc	Zmym2	wholemount	ICR
TS19	EMAGE:29058	only anatomy term annotation	embrys	in situ	EMBRYS:Osgin1	11.5dpc	Osgin1	wholemount	ICR
TS19	EMAGE:29059	only anatomy term annotation	embrys	in situ	EMBRYS:Cir1	11.5dpc	Cir1	wholemount	ICR
TS18	EMAGE:2906	wholemount spatial annotation	emage	in situ	MGI:3507387	10.5 dpc	Sin3a	wholemount	C57BL
TS19	EMAGE:29060	only anatomy term annotation	embrys	in situ	EMBRYS:Asb2	11.5dpc	Asb2	wholemount	ICR
TS19	EMAGE:29061	only anatomy term annotation	embrys	in situ	EMBRYS:Ascl3	11.5dpc	Ascl3	wholemount	ICR
TS19	EMAGE:29040	only anatomy term annotation	embrys	in situ	EMBRYS:Zkscan14	11.5dpc	Zkscan14	wholemount	ICR
TS19	EMAGE:29064	only anatomy term annotation	embrys	in situ	EMBRYS:Dlx6	11.5dpc	Dlx6	wholemount	ICR
TS19	EMAGE:29065	only anatomy term annotation	embrys	in situ	EMBRYS:Rhox4b	11.5dpc	Rhox4b	wholemount	ICR
TS19	EMAGE:29066	only anatomy term annotation	embrys	in situ	EMBRYS:Emx1	11.5dpc	Emx1	wholemount	ICR
TS19	EMAGE:29067	only anatomy term annotation	embrys	in situ	EMBRYS:Esrrg	11.5dpc	Esrrg	wholemount	ICR
TS19	EMAGE:29068	only anatomy term annotation	embrys	in situ	EMBRYS:Etv2	11.5dpc	Etv2	wholemount	ICR
TS19	EMAGE:29069	only anatomy term annotation	embrys	in situ	EMBRYS:Fbxw7	11.5dpc	Fbxw7	wholemount	ICR
TS18	EMAGE:2907	wholemount spatial annotation	emage	in situ	MGI:3507108	10.5 dpc	Sin3b	wholemount	C57BL
TS19	EMAGE:29070	only anatomy term annotation	embrys	in situ	EMBRYS:Foxh1	11.5dpc	Foxh1	wholemount	ICR
TS19	EMAGE:29071	only anatomy term annotation	embrys	in situ	EMBRYS:Foxl1	11.5dpc	Foxl1	wholemount	ICR
TS19	EMAGE:29072	only anatomy term annotation	embrys	in situ	EMBRYS:Gsx1	11.5dpc	Gsx1	wholemount	ICR
TS19	EMAGE:29073	only anatomy term annotation	embrys	in situ	EMBRYS:Hoxa2	11.5dpc	Hoxa2	wholemount	ICR
TS19	EMAGE:29074	only anatomy term annotation	embrys	in situ	EMBRYS:Hoxb8	11.5dpc	Hoxb8	wholemount	ICR
TS19	EMAGE:29075	only anatomy term annotation	embrys	in situ	EMBRYS:Ing1	11.5dpc	Ing1	wholemount	ICR
TS19	EMAGE:29076	only anatomy term annotation	embrys	in situ	EMBRYS:Jdp2	11.5dpc	Jdp2	wholemount	ICR
TS19	EMAGE:29077	only anatomy term annotation	embrys	in situ	EMBRYS:Lhx4	11.5dpc	Lhx4	wholemount	ICR
TS19	EMAGE:29078	only anatomy term annotation	embrys	in situ	EMBRYS:Mafg	11.5dpc	Mafg	wholemount	ICR
TS19	EMAGE:29079	only anatomy term annotation	embrys	in situ	EMBRYS:Mapk8ip1	11.5dpc	Mapk8ip1	wholemount	ICR
TS17	EMAGE:2908	wholemount spatial annotation	emage	in situ	MGI:3507108	10.5 dpc	Sin3b	wholemount	C57BL
TS19	EMAGE:29080	only anatomy term annotation	embrys	in situ	EMBRYS:Msx3	11.5dpc	Msx3	wholemount	ICR
TS19	EMAGE:29081	only anatomy term annotation	embrys	in situ	EMBRYS:Neurog1	11.5dpc	Neurog1	wholemount	ICR
TS19	EMAGE:29082	only anatomy term annotation	embrys	in situ	EMBRYS:Nfkb1	11.5dpc	Nfkb1	wholemount	ICR
TS19	EMAGE:29083	only anatomy term annotation	embrys	in situ	EMBRYS:Ppp3cb	11.5dpc	Ppp3cb	wholemount	ICR
TS19	EMAGE:29084	only anatomy term annotation	embrys	in situ	EMBRYS:Rara	11.5dpc	Rara	wholemount	ICR
TS19	EMAGE:29062	only anatomy term annotation	embrys	in situ	EMBRYS:Gpank1	11.5dpc	Gpank1	wholemount	ICR
TS19	EMAGE:29063	only anatomy term annotation	embrys	in situ	EMBRYS:Cbx7	11.5dpc	Cbx7	wholemount	ICR
TS19	EMAGE:29086	only anatomy term annotation	embrys	in situ	EMBRYS:Smad4	11.5dpc	Smad4	wholemount	ICR
TS19	EMAGE:29087	only anatomy term annotation	embrys	in situ	EMBRYS:Tbx10	11.5dpc	Tbx10	wholemount	ICR
TS19	EMAGE:29088	only anatomy term annotation	embrys	in situ	EMBRYS:Tcea2	11.5dpc	Tcea2	wholemount	ICR
TS19	EMAGE:29089	only anatomy term annotation	embrys	in situ	EMBRYS:Trp73	11.5dpc	Trp73	wholemount	ICR
TS17	EMAGE:2909	wholemount spatial annotation	emage	in situ	MGI:3507109	10.5 dpc	Erg	wholemount	C57BL
TS19	EMAGE:29090	only anatomy term annotation	embrys	in situ	EMBRYS:Uhrf2	11.5dpc	Uhrf2	wholemount	ICR
TS19	EMAGE:29091	only anatomy term annotation	embrys	in situ	EMBRYS:Usf2	11.5dpc	Usf2	wholemount	ICR
TS19	EMAGE:29092	only anatomy term annotation	embrys	in situ	EMBRYS:Zbtb20	11.5dpc	Zbtb20	wholemount	ICR
TS19	EMAGE:29093	only anatomy term annotation	embrys	in situ	EMBRYS:Zscan2	11.5dpc	Zscan2	wholemount	ICR
TS19	EMAGE:29094	only anatomy term annotation	embrys	in situ	EMBRYS:Zfp42	11.5dpc	Zfp42	wholemount	ICR
TS19	EMAGE:29095	only anatomy term annotation	embrys	in situ	EMBRYS:Zfp637	11.5dpc	Zfp637	wholemount	ICR
TS19	EMAGE:29096	only anatomy term annotation	embrys	in situ	EMBRYS:Zkscan5	11.5dpc	Zkscan5	wholemount	ICR
TS19	EMAGE:29097	only anatomy term annotation	embrys	in situ	EMBRYS:1700029I01Rik	11.5dpc	1700029I01Rik	wholemount	ICR
TS19	EMAGE:29098	only anatomy term annotation	embrys	in situ	EMBRYS:Msl3l2	11.5dpc	Msl3l2	wholemount	ICR
TS19	EMAGE:29099	only anatomy term annotation	embrys	in situ	EMBRYS:2810047C21Rik1	11.5dpc	2810047C21Rik1	wholemount	ICR
TS15	EMAGE:291	wholemount spatial annotation	mgi	in situ	MGI:9297		Wnt7a	wholemount	
TS18	EMAGE:2910	wholemount spatial annotation	emage	in situ	MGI:3507109	10.5 dpc	Erg	wholemount	C57BL
TS19	EMAGE:29100	only anatomy term annotation	embrys	in situ	EMBRYS:Zfp619	11.5dpc	Zfp619	wholemount	ICR
TS19	EMAGE:29101	only anatomy term annotation	embrys	in situ	EMBRYS:Gm6710	11.5dpc	Gm6710	wholemount	ICR
TS19	EMAGE:29102	only anatomy term annotation	embrys	in situ	EMBRYS:5730403B10Rik	11.5dpc	5730403B10Rik	wholemount	ICR
TS19	EMAGE:29103	only anatomy term annotation	embrys	in situ	EMBRYS:Prrc2b	11.5dpc	Prrc2b	wholemount	ICR
TS19	EMAGE:29104	only anatomy term annotation	embrys	in situ	EMBRYS:A430033K04	11.5dpc	A430033K04	wholemount	ICR
TS19	EMAGE:29105	only anatomy term annotation	embrys	in situ	EMBRYS:E430018J23Rik	11.5dpc	E430018J23Rik	wholemount	ICR
TS19	EMAGE:29085	only anatomy term annotation	embrys	in situ	EMBRYS:Scrt1	11.5dpc	Scrt1	wholemount	ICR
TS19	EMAGE:29107	only anatomy term annotation	embrys	in situ	EMBRYS:Zfp959	11.5dpc	Zfp959	wholemount	ICR
TS19	EMAGE:29108	only anatomy term annotation	embrys	in situ	EMBRYS:Zfp759	11.5dpc	Zfp759	wholemount	ICR
TS19	EMAGE:29109	only anatomy term annotation	embrys	in situ	EMBRYS:BC031441	11.5dpc	BC031441	wholemount	ICR
TS17	EMAGE:2911	wholemount spatial annotation	emage	in situ	MGI:3507110	10.5 dpc	Tert	wholemount	C57BL
TS19	EMAGE:29110	only anatomy term annotation	embrys	in situ	EMBRYS:Taf9b	11.5dpc	Taf9b	wholemount	ICR
TS19	EMAGE:29111	only anatomy term annotation	embrys	in situ	EMBRYS:C80913	11.5dpc	C80913	wholemount	ICR
TS19	EMAGE:29112	only anatomy term annotation	embrys	in situ	EMBRYS:LOC435366	11.5dpc	LOC435366	wholemount	ICR
TS19	EMAGE:29113	only anatomy term annotation	embrys	in situ	EMBRYS:Arid3b	11.5dpc	Arid3b	wholemount	ICR
TS19	EMAGE:29114	only anatomy term annotation	embrys	in situ	EMBRYS:Atoh8	11.5dpc	Atoh8	wholemount	ICR
TS19	EMAGE:29115	only anatomy term annotation	embrys	in situ	EMBRYS:Bat2	11.5dpc	Bat2	wholemount	ICR
TS19	EMAGE:29116	only anatomy term annotation	embrys	in situ	EMBRYS:Bcl11b	11.5dpc	Bcl11b	wholemount	ICR
TS19	EMAGE:29117	only anatomy term annotation	embrys	in situ	EMBRYS:Bloc1s1	11.5dpc	Bloc1s1	wholemount	ICR
TS19	EMAGE:29118	only anatomy term annotation	embrys	in situ	EMBRYS:Brca1	11.5dpc	Brca1	wholemount	ICR
